SYMBOL BT474_BREAST power
A1BG 0.0706 1.05015333931256
NAT2 -0.3632 0.777438252585194
ADA 1.7516 3.3673180661852
CDH2 0.2889 1.22170841636414
AKT3 1.4598 2.7507022815404
GAGE12F 0.2384 1.17968362467416
LOC100009676 0.0336 1.02356306914069
MED6 0.2663 1.2027193213487
NR2E3 0.3352 1.26155228499137
NAALAD2 -0.1907 0.876180492736539
SNORD116-1 1.3909 2.62242224967254
SNORD116-2 1.3909 2.62242224967254
SNORD116-3 1.3909 2.62242224967254
SNORD116-4 1.3909 2.62242224967254
SNORD116-5 1.3909 2.62242224967254
SNORD116-6 1.3909 2.62242224967254
SNORD116-7 1.3909 2.62242224967254
SNORD116-8 1.3909 2.62242224967254
SNORD116-9 1.3909 2.62242224967254
SNORD116-10 1.3909 2.62242224967254
SNORD116-11 1.3909 2.62242224967254
SNORD116-12 1.3909 2.62242224967254
SNORD116-13 1.3909 2.62242224967254
SNORD116-14 1.3909 2.62242224967254
SNORD116-15 1.3909 2.62242224967254
SNORD116-16 1.3909 2.62242224967254
SNORD116-17 1.3909 2.62242224967254
SNORD116-18 1.3909 2.62242224967254
SNORD116-20 1.3909 2.62242224967254
SNORD116-21 1.3909 2.62242224967254
SNORD116-22 1.3909 2.62242224967254
SNORD116-23 1.3909 2.62242224967254
SNORD116-24 1.3909 2.62242224967254
SNORD116-25 1.3909 2.62242224967254
SNORD115-2 1.3909 2.62242224967254
SNORD116-26 1.3909 2.62242224967254
SNORD116-27 1.3909 2.62242224967254
SNORD115-3 1.3909 2.62242224967254
SNORD115-4 1.3909 2.62242224967254
SNORD115-5 1.3909 2.62242224967254
SNORD115-6 1.3909 2.62242224967254
SNORD115-7 1.3909 2.62242224967254
SNORD115-8 1.3909 2.62242224967254
SNORD115-9 1.3909 2.62242224967254
SNORD115-10 1.3909 2.62242224967254
SNORD115-11 1.3909 2.62242224967254
SNORD115-12 1.3909 2.62242224967254
SNORD115-13 1.3909 2.62242224967254
SNORD115-14 1.3909 2.62242224967254
SNORD115-15 1.3909 2.62242224967254
SNORD115-16 1.3909 2.62242224967254
SNORD115-17 1.3909 2.62242224967254
SNORD115-18 1.3909 2.62242224967254
SNORD115-19 1.3909 2.62242224967254
SNORD115-20 1.3909 2.62242224967254
SNORD115-21 1.3909 2.62242224967254
SNORD115-22 1.3909 2.62242224967254
SNORD115-23 1.3909 2.62242224967254
SNORD115-25 1.3909 2.62242224967254
SNORD115-26 1.3909 2.62242224967254
SNORD115-29 1.3909 2.62242224967254
SNORD115-30 1.3909 2.62242224967254
SNORD115-31 1.3909 2.62242224967254
SNORD115-32 1.3909 2.62242224967254
SNORD115-33 1.3909 2.62242224967254
SNORD115-34 1.3909 2.62242224967254
SNORD115-35 1.3909 2.62242224967254
SNORD115-36 1.3909 2.62242224967254
SNORD115-37 1.3909 2.62242224967254
SNORD115-38 1.3909 2.62242224967254
SNORD115-39 1.3909 2.62242224967254
SNORD115-40 1.3909 2.62242224967254
SNORD115-41 1.3909 2.62242224967254
SNORD115-42 1.3909 2.62242224967254
SNORD115-43 1.3909 2.62242224967254
SNORD115-44 1.3909 2.62242224967254
MIR675 -0.7538 0.593039456732664
SNORD116-28 1.3909 2.62242224967254
SNORD116-29 1.3909 2.62242224967254
SNORD115-48 1.3909 2.62242224967254
SNORD115-24 1.3909 2.62242224967254
SNORD115-27 1.3909 2.62242224967254
SNORD115-28 1.3909 2.62242224967254
SNORD115-45 1.3909 2.62242224967254
SNORD115-47 1.3909 2.62242224967254
DDTL -0.1735 0.886688948921961
TLX1NB -0.2548 0.838103312404538
NAALADL1 1.0567 2.08016792930623
CDKN2B-AS1 -1.8122 0.28475636595472
GUSBP9 0.0032 1.00222053271699
SIGLEC14 0.0982 1.07043708223031
ACOT8 0.2629 1.19988820957775
ABI1 0.0593 1.04196007598888
GNPDA1 0.0277 1.01938568566298
MIMT1 0.0706 1.05015333931256
KCNE3 0.9495 1.93120323781505
ZBTB33 -0.5108 0.701833151009861
SNHG8 -0.2 0.870550563296124
LOC100093698 0.8738 1.83248323562381
CDH3 0.0683 1.04848047823616
TANK -0.0194 0.986642952447207
HAVCR1P1 -0.5938 0.662595357376743
POM121C 0.2876 1.22060804134024
ZSCAN30 0.2889 1.22170841636414
PSIMCT-1 0.65 1.5691681957935
GAGE8 0.2384 1.17968362467416
ANKRD26P3 -0.2692 0.829779545745688
SRA1 0.0277 1.01938568566298
SNORD119 0.2858 1.21908608114549
SNORD121A -0.061 0.958599438492977
SNORD125 -0.2892 0.818355725534041
SNORD19B -0.6312 0.645639164353609
SNORD105B 0.4694 1.38453353704717
SNORD123 0.6648 1.58534848202005
SNORD121B -0.061 0.958599438492977
UCKL1-AS1 0.8138 1.75783541719898
SNORD127 0.2975 1.22901285003975
SNORD124 2.5078 5.68752112984773
SNORD126 0.8134 1.757348109292
SNORD11B -0.0581 0.960528282898866
SNORD12B 1.379 2.60088029309696
SNORD111B 0.0683 1.04848047823616
LINC00577 0.0587 1.04152682707335
LINC00583 -1.7912 0.288931619434733
TMEM170B 0.0441 1.03103978254985
SNORD58C 0.2765 1.21125279944664
SCARNA27 0.0441 1.03103978254985
SNORA84 -0.3988 0.758488914289677
SNORA36C -0.1973 0.87218132190529
SNORA38B 0.6279 1.54531398258062
SNORA70B -0.1973 0.87218132190529
SNORA70C -0.3537 0.782574496609893
SNORA11B 1.0469 2.06608556026678
SNORA11C 0.2384 1.17968362467416
LOC100124692 0.4872 1.40172175550869
HOTAIR 0.1315 1.09543205283268
ZGLP1 0.4694 1.38453353704717
FAM86JP 0.3919 1.31212030219103
FMR1-AS1 -0.5108 0.701833151009861
MIR298 2.043 4.1210158144803
MIR300 0.277 1.21167266043024
VTRNA2-1 0.0277 1.01938568566298
MIR509-2 -0.5108 0.701833151009861
MIR450B -0.5108 0.701833151009861
MIR890 -0.5108 0.701833151009861
MIR891B -0.5108 0.701833151009861
MIR888 -0.5108 0.701833151009861
MIR892B -0.5108 0.701833151009861
MIR541 0.277 1.21167266043024
MIR875 0.6926 1.61619357147806
MIR876 -1.7646 0.294308272573373
MIR147B -0.257 0.836826242683391
MIR744 -0.2853 0.820570958134384
MIR877 0.0242 1.01691563796227
MIR665 0.277 1.21167266043024
MIR873 -1.7646 0.294308272573373
MIR374B -0.4833 0.715339493878471
MIR301B -0.2707 0.828917255065203
MIR216B -0.1827 0.88105256480997
