SYMBOL BT474_BREAST
A1BG 0.0706
NAT2 -0.3632
ADA 1.7516
CDH2 0.2889
AKT3 1.4598
GAGE12F 0.2384
LOC100009676 0.0336
MED6 0.2663
NR2E3 0.3352
NAALAD2 -0.1907
SNORD116-1 1.3909
SNORD116-2 1.3909
SNORD116-3 1.3909
SNORD116-4 1.3909
SNORD116-5 1.3909
SNORD116-6 1.3909
SNORD116-7 1.3909
SNORD116-8 1.3909
SNORD116-9 1.3909
SNORD116-10 1.3909
SNORD116-11 1.3909
SNORD116-12 1.3909
SNORD116-13 1.3909
SNORD116-14 1.3909
SNORD116-15 1.3909
SNORD116-16 1.3909
SNORD116-17 1.3909
SNORD116-18 1.3909
SNORD116-20 1.3909
SNORD116-21 1.3909
SNORD116-22 1.3909
SNORD116-23 1.3909
SNORD116-24 1.3909
SNORD116-25 1.3909
SNORD115-2 1.3909
SNORD116-26 1.3909
SNORD116-27 1.3909
SNORD115-3 1.3909
SNORD115-4 1.3909
SNORD115-5 1.3909
SNORD115-6 1.3909
SNORD115-7 1.3909
SNORD115-8 1.3909
SNORD115-9 1.3909
SNORD115-10 1.3909
SNORD115-11 1.3909
SNORD115-12 1.3909
SNORD115-13 1.3909
SNORD115-14 1.3909
SNORD115-15 1.3909
SNORD115-16 1.3909
SNORD115-17 1.3909
SNORD115-18 1.3909
SNORD115-19 1.3909
SNORD115-20 1.3909
SNORD115-21 1.3909
SNORD115-22 1.3909
SNORD115-23 1.3909
SNORD115-25 1.3909
SNORD115-26 1.3909
SNORD115-29 1.3909
SNORD115-30 1.3909
SNORD115-31 1.3909
SNORD115-32 1.3909
SNORD115-33 1.3909
SNORD115-34 1.3909
SNORD115-35 1.3909
SNORD115-36 1.3909
SNORD115-37 1.3909
SNORD115-38 1.3909
SNORD115-39 1.3909
SNORD115-40 1.3909
SNORD115-41 1.3909
SNORD115-42 1.3909
SNORD115-43 1.3909
SNORD115-44 1.3909
MIR675 -0.7538
SNORD116-28 1.3909
SNORD116-29 1.3909
SNORD115-48 1.3909
SNORD115-24 1.3909
SNORD115-27 1.3909
SNORD115-28 1.3909
SNORD115-45 1.3909
SNORD115-47 1.3909
DDTL -0.1735
TLX1NB -0.2548
NAALADL1 1.0567
CDKN2B-AS1 -1.8122
GUSBP9 0.0032
SIGLEC14 0.0982
ACOT8 0.2629
ABI1 0.0593
GNPDA1 0.0277
MIMT1 0.0706
KCNE3 0.9495
ZBTB33 -0.5108
SNHG8 -0.2
LOC100093698 0.8738
CDH3 0.0683
TANK -0.0194
HAVCR1P1 -0.5938
POM121C 0.2876
ZSCAN30 0.2889
PSIMCT-1 0.65
GAGE8 0.2384
ANKRD26P3 -0.2692
SRA1 0.0277
SNORD119 0.2858
SNORD121A -0.061
SNORD125 -0.2892
SNORD19B -0.6312
SNORD105B 0.4694
SNORD123 0.6648
SNORD121B -0.061
