SYMBOL HCC1395_BREAST
A1BG -0.4419
NAT2 -0.3732
ADA 0.5764
CDH2 0.6477
AKT3 0.1941
GAGE12F -0.5744
LOC100009676 -0.2915
MED6 -0.4701
NR2E3 0.3743
NAALAD2 -0.3389
SNORD116-1 -0.4385
SNORD116-2 -0.4385
SNORD116-3 -0.4385
SNORD116-4 -0.4385
SNORD116-5 -0.4385
SNORD116-6 -0.4385
SNORD116-7 -0.4385
SNORD116-8 -0.4385
SNORD116-9 -0.4385
SNORD116-10 -0.4385
SNORD116-11 -0.4385
SNORD116-12 -0.4385
SNORD116-13 -0.4385
SNORD116-14 -0.4385
SNORD116-15 -0.4385
SNORD116-16 -0.4385
SNORD116-17 -0.4385
SNORD116-18 -0.4385
SNORD116-20 -0.4385
SNORD116-21 -0.4385
SNORD116-22 -0.4385
SNORD116-23 -0.4385
SNORD116-24 -0.4385
SNORD116-25 -0.4385
SNORD115-2 -0.4385
SNORD116-26 -0.4385
SNORD116-27 -0.4385
SNORD115-3 -0.4385
SNORD115-4 -0.4385
SNORD115-5 -0.4385
SNORD115-6 -0.4385
SNORD115-7 -0.4385
SNORD115-8 -0.4385
SNORD115-9 -0.4385
SNORD115-10 -0.4385
SNORD115-11 -0.4385
SNORD115-12 -0.4385
SNORD115-13 -0.4385
SNORD115-14 -0.4385
SNORD115-15 -0.4385
SNORD115-16 -0.4385
SNORD115-17 -0.4385
SNORD115-18 -0.4385
SNORD115-19 -0.4385
SNORD115-20 -0.4385
SNORD115-21 -0.4385
SNORD115-22 -0.4385
SNORD115-23 -0.4385
SNORD115-25 -0.4385
SNORD115-26 -0.4385
SNORD115-29 -0.4385
SNORD115-30 -0.4385
SNORD115-31 -0.4385
SNORD115-32 -0.4385
SNORD115-33 -0.4385
SNORD115-34 -0.4385
SNORD115-35 -0.4385
SNORD115-36 -0.4385
SNORD115-37 -0.4385
SNORD115-38 -0.4385
SNORD115-39 -0.4385
SNORD115-40 -0.4385
SNORD115-41 -0.4385
SNORD115-42 -0.4385
SNORD115-43 -0.4385
SNORD115-44 -0.4385
MIR675 -0.4569
SNORD116-28 -0.4385
SNORD116-29 -0.4385
SNORD115-48 -0.4385
SNORD115-24 -0.4385
SNORD115-27 -0.4385
SNORD115-28 -0.4385
SNORD115-45 -0.4385
SNORD115-47 -0.4385
DDTL 0.812
TLX1NB -0.4147
NAALADL1 0.7736
CDKN2B-AS1 -5.9609
GUSBP9 -0.4008
SIGLEC14 -0.4277
ACOT8 0.5764
ABI1 -0.4261
GNPDA1 0.2155
MIMT1 -0.4419
KCNE3 -0.4155
ZBTB33 0.5445
SNHG8 0.6618
LOC100093698 -0.5629
CDH3 0.1946
TANK -0.3082
HAVCR1P1 0.4174
POM121C 0.7694
ZSCAN30 0.6477
PSIMCT-1 -0.0822
GAGE8 -0.5744
ANKRD26P3 0.1226
SRA1 0.2155
SNORD119 0.0776
SNORD121A -0.4354
SNORD125 0.7992
SNORD19B 0.1104
SNORD105B -0.5038
SNORD123 0.7494
SNORD121B -0.4354
UCKL1-AS1 0.5676
SNORD127 -0.292
SNORD124 -0.434
SNORD126 0.5627
SNORD11B -0.2975
SNORD12B 0.5764
SNORD111B 0.0906
LINC00577 -4.0942
LINC00583 0.5777
TMEM170B -0.0817
SNORD58C 0.6477
SCARNA27 0.7282
SNORA84 0.1412
SNORA36C -0.3486
SNORA38B 0.7913
SNORA70B 0.181
SNORA70C -0.2949
SNORA11B 1.0147
SNORA11C -0.5744
LOC100124692 1.0059
HOTAIR -0.4027
ZGLP1 -0.5038
FAM86JP -0.497
FMR1-AS1 0.5125
MIR298 0.5591
MIR300 0.513
VTRNA2-1 -0.371
MIR509-2 0.5125
MIR450B 0.4848
MIR890 0.5125
MIR891B 0.5125
MIR888 0.5125
MIR892B 0.5125
MIR541 0.513
MIR875 0.0091
MIR876 -0.3154
MIR147B -0.4173
MIR744 0.1158
MIR877 0.3458
MIR665 0.513
MIR873 -0.3154
MIR374B -0.5506
MIR301B -0.2576
MIR216B 0.2509
MIR920 0.8098
MIR922 -1.3082
MIR934 0.5125
MIR935 -0.4277
MIR936 -0.4147
MIR938 -0.3945
MIR940 0.1223
MIR941-1 0.5676
MIR941-4 0.5676
MIR942 -0.3978
MIR943 -1.5339
MIR708 -0.4155
MIR885 0.1711
MIR543 0.513
MIR208B 0.5627
MIR509-3 0.5125
MIR937 1.1201
MIR941-2 0.5676
MIR944 -0.332
MIR891A 0.5125
MIR892A 0.5125
MIR874 -0.371
MIR889 0.513
MIR190B 0.1293
MIR760 0.7299
MIR921 0.1963
MIR933 0.5214
MIR939 1.1201
MIR941-3 0.5676
MIR365A 0.8006
MIR365B -0.4562
SNAR-G1 -1.4996
SNAR-F -0.4277
LOC100126784 -0.3581
EGOT 0.1711
GHRLOS 0.1711
SNAR-A1 -0.4733
SNAR-A2 -0.4733
SNAR-A12 -0.4733
KIAA1024L -0.3464
LOC100127888 0.5676
C10orf131 -0.4147
LOC100127983 0.0091
LOC100128023 -1.3892
WWTR1-AS1 0.2936
LOC100128054 -0.3804
LOC100128071 0.0969
LOC100128076 0.1412
JAZF1-AS1 0.1615
LOC100128098 -0.385
HGC6.3 -0.5073
STAU2-AS1 0.0091
LOC100128164 0.1744
LOC100128176 0.0903
TMPO-AS1 -0.3398
LOC100128239 -0.4585
LOC100128252 -0.4419
LOC100128264 1.4014
DNM1P35 0.3743
LOC100128288 0.1158
LOC100128292 -0.3945
BET3L 0.8329
LOC100128338 1.1201
LOC100128361 0.1412
C3orf74 0.1104
FAM225B -0.3803
LOC100128398 -0.4419
LOC100128420 0.5125
C20orf78 0.006
LOC100128505 -0.2949
LOC100128511 0.5821
LOC100128531 0.812
LOC100128554 -0.4404
LOC100128568 -0.5038
C19orf71 -0.5038
LOC100128573 -0.5038
SLC8A1-AS1 -0.3174
LOC100128593 0.084
ACVR2B-AS1 0.2164
LOC100128675 0.3221
LOC100128682 0.2985
LOC100128714 -0.4385
OST4 0.1469
LOC100128750 -0.3431
LOC100128770 0.1223
LINC00476 0.1878
LOC100128787 -0.3339
SRRM2-AS1 0.1223
GPR158-AS1 -0.4261
LOC100128822 1.0037
LOC100128881 0.5375
FAM66B -0.2485
ZBTB42 0.0424
LOC100128946 0.6442
MAPT-AS1 -0.3343
LOC100128993 -0.3732
LOC100129027 0.2329
LOC100129034 -0.4673
LOC100129046 0.7299
LOC100129055 0.6602
UNQ6494 0.1637
KTN1-AS1 0.6254
LOC100129083 -0.4277
KHDC1L 0.1438
LOC100129138 -0.3339
LOC100129148 1.0059
LOC100129175 0.0663
MATN1-AS1 0.0878
LOC100129213 -0.385
LOC100129216 -0.4155
LOC100129250 -0.3154
LOC100129269 -0.4583
C1orf68 0.1779
LOC100129316 0.1412
LOC100129345 1.0147
NRADDP 0.1104
GABPB1-AS1 -0.4173
FAM106CP 0.1158
MSTO2P 1.315
RPL19P12 0.8769
LOC100129427 0.2399
DPY19L1P1 0.1615
CXorf28 1.4625
LOC100129480 0.1569
ZNF37BP 1.06
LINC00633 0.4848
LOC100129518 0.0771
LOC100129520 0.5238
LOC100129534 -0.4093
LOC100129550 -0.3906
FAM47E -0.2608
LINC00462 0.6148
LOC100129617 0.5375
LOC100129620 -0.3339
LOC100129636 0.3458
TCF24 0.0235
FGF13-AS1 0.5125
ARRDC3-AS1 -0.3286
LOC100129722 0.084
LOC100129726 -0.3174
CCDC152 0.2071
LOC100129794 -0.2939
MRVI1-AS1 -0.3886
ZNF737 0.4174
PCOLCE-AS1 0.8769
LOC100129858 0.5195
SCXA 1.1201
LOC100129917 -4.981
LOC100129924 0.1125
LOC100129931 -1.5339
LOC100129935 -0.4715
LOC100129961 -0.3537
HDAC6 -0.5744
LOC100130000 0.2271
LOC100130015 0.5375
FTLP10 -0.2119
LOC100130093 0.2209
MAPT-IT1 -0.3343
LOC100130155 0.8067
KIAA0494-AS1 0.1237
LOC100130231 1.031
LOC100130238 -0.4607
LOC100130264 0.006
CCDC166 1.1201
LOC100130275 -0.0817
LOC100130298 0.0024
