SYMBOL HCT15_LARGE_INTESTINE
A1BG -0.0173
NAT2 0.0363
ADA 0.0099
CDH2 0.0218
AKT3 0.0298
GAGE12F -0.005
LOC100009676 -0.0289
MED6 -0.0047
NR2E3 -0.0018
NAALAD2 0.0235
SNORD116-1 -0.0148
SNORD116-2 -0.0148
SNORD116-3 -0.0148
SNORD116-4 -0.0148
SNORD116-5 -0.0148
SNORD116-6 -0.0148
SNORD116-7 -0.0148
SNORD116-8 -0.0148
SNORD116-9 -0.0148
SNORD116-10 -0.0148
SNORD116-11 -0.0148
SNORD116-12 -0.0148
SNORD116-13 -0.0148
SNORD116-14 -0.0148
SNORD116-15 -0.0148
SNORD116-16 -0.0148
SNORD116-17 -0.0148
SNORD116-18 -0.0148
SNORD116-20 -0.0148
SNORD116-21 -0.0148
SNORD116-22 -0.0148
SNORD116-23 -0.0148
SNORD116-24 -0.0148
SNORD116-25 -0.0148
SNORD115-2 -0.0148
SNORD116-26 -0.0148
SNORD116-27 -0.0148
SNORD115-3 -0.0148
SNORD115-4 -0.0148
SNORD115-5 -0.0148
SNORD115-6 -0.0148
SNORD115-7 -0.0148
SNORD115-8 -0.0148
SNORD115-9 -0.0148
SNORD115-10 -0.0148
SNORD115-11 -0.0148
SNORD115-12 -0.0148
SNORD115-13 -0.0148
SNORD115-14 -0.0148
SNORD115-15 -0.0148
SNORD115-16 -0.0148
SNORD115-17 -0.0148
SNORD115-18 -0.0148
SNORD115-19 -0.0148
SNORD115-20 -0.0148
SNORD115-21 -0.0148
SNORD115-22 -0.0148
SNORD115-23 -0.0148
SNORD115-25 -0.0148
SNORD115-26 -0.0148
SNORD115-29 -0.0148
SNORD115-30 -0.0148
SNORD115-31 -0.0148
SNORD115-32 -0.0148
SNORD115-33 -0.0148
SNORD115-34 -0.0148
SNORD115-35 -0.0148
SNORD115-36 -0.0148
SNORD115-37 -0.0148
SNORD115-38 -0.0148
SNORD115-39 -0.0148
SNORD115-40 -0.0148
SNORD115-41 -0.0148
SNORD115-42 -0.0148
SNORD115-43 -0.0148
SNORD115-44 -0.0148
MIR675 0.0492
SNORD116-28 -0.0148
SNORD116-29 -0.0148
SNORD115-48 -0.0148
SNORD115-24 -0.0148
SNORD115-27 -0.0148
SNORD115-28 -0.0148
SNORD115-45 -0.0148
SNORD115-47 -0.0148
DDTL 0.0221
TLX1NB 0.0178
NAALADL1 0.0252
CDKN2B-AS1 -0.0228
GUSBP9 0.0379
SIGLEC14 0.0087
ACOT8 0.0099
ABI1 0.009
GNPDA1 -0.0159
MIMT1 -0.0173
KCNE3 0.0022
ZBTB33 0.0027
SNHG8 -0.0116
LOC100093698 0.0905
CDH3 -0.008
TANK 0.023
HAVCR1P1 -0.0266
POM121C -0.0528
ZSCAN30 0.0218
PSIMCT-1 0.0099
GAGE8 -0.005
ANKRD26P3 0.0607
SRA1 -0.0159
SNORD119 0.0194
SNORD121A 0.0135
SNORD125 0.0221
SNORD19B -0.0124
SNORD105B -0.0266
SNORD123 -0.041
SNORD121B 0.0135
UCKL1-AS1 -0.0015
SNORD127 0.0054
SNORD124 0.0082
SNORD126 0.0353
SNORD11B 0.0362
SNORD12B -0.0015
SNORD111B -0.008
LINC00577 -0.0479
LINC00583 -0.0228
TMEM170B -0.0078
SNORD58C 0.0322
SCARNA27 -0.0078
SNORA84 0.0043
SNORA36C -0.006
SNORA38B 0.0122
SNORA70B -0.006
SNORA70C -0.0305
SNORA11B -0.0293
SNORA11C -0.005
LOC100124692 0.0024
HOTAIR 0.0318
ZGLP1 -0.0266
FAM86JP 0.099
FMR1-AS1 -0.0324
MIR298 -0.0015
MIR300 -0.0293
VTRNA2-1 -0.0159
MIR509-2 -0.0324
MIR450B 0.0027
MIR890 -0.0641
MIR891B -0.0641
MIR888 -0.0641
MIR892B -0.0641
MIR541 -0.0293
MIR875 -0.0142
MIR876 -0.0117
MIR147B -0.0082
MIR744 -7e-04
MIR877 0.0342
MIR665 -0.0293
MIR873 -0.0117
MIR374B -0.005
MIR301B 0.0221
MIR216B 0.0303
MIR920 -0.0277
MIR922 -0.0139
MIR934 0.0027
MIR935 0.0224
MIR936 0.0178
MIR938 0.009
MIR940 0
MIR941-1 -0.0015
MIR941-4 -0.0015
MIR942 0.0288
MIR943 0.0193
MIR708 0.0022
MIR885 -0.0118
MIR543 -0.0293
MIR208B 0.0529
MIR509-3 -0.0324
MIR937 -0.0024
MIR941-2 -0.0015
MIR944 -0.0139
MIR891A -0.0641
MIR892A -0.0641
MIR874 -0.0159
MIR889 -0.0293
MIR190B 0.01
MIR760 0.0613
MIR921 -0.0121
MIR933 0.0442
MIR939 -0.0024
MIR941-3 -0.0015
MIR365A 0
MIR365B 0.0082
SNAR-G1 0.0087
SNAR-F 0.0087
LOC100126784 0.0275
EGOT -0.0118
GHRLOS -0.0118
SNAR-A1 0.0087
SNAR-A2 0.0087
SNAR-A12 0.0087
KIAA1024L -0.0159
LOC100127888 -0.0015
C10orf131 0.0178
LOC100127983 -0.0142
LOC100128023 -0.0139
WWTR1-AS1 -0.0108
LOC100128054 0.0178
LOC100128071 0.0115
LOC100128076 0.0043
JAZF1-AS1 0.0036
LOC100128098 0.0822
HGC6.3 -0.0284
STAU2-AS1 -0.0142
LOC100128164 -0.0139
LOC100128176 0.0056
TMPO-AS1 -0.004
LOC100128239 0.0016
LOC100128252 -0.0173
LOC100128264 0.0109
DNM1P35 -0.0018
LOC100128288 -7e-04
LOC100128292 -0.002
BET3L 0.0076
LOC100128338 -0.0024
LOC100128361 0.0043
C3orf74 -0.0124
FAM225B 0.0043
LOC100128398 -0.0173
LOC100128420 0.0027
C20orf78 0.0307
LOC100128505 -0.0305
LOC100128511 0.009
LOC100128531 0.0221
LOC100128554 -0.0847
LOC100128568 -0.0266
C19orf71 -0.0266
LOC100128573 -0.0266
SLC8A1-AS1 0.0288
LOC100128593 0.038
ACVR2B-AS1 0.0256
LOC100128675 -0.0266
LOC100128682 -0.0266
LOC100128714 -0.0148
OST4 0.0126
LOC100128750 0.0173
LOC100128770 0
LINC00476 0.0043
LOC100128787 -0.0155
SRRM2-AS1 0
GPR158-AS1 0.009
LOC100128822 0.0109
LOC100128881 0.0217
FAM66B 0.7319
ZBTB42 0.0133
LOC100128946 0.0067
MAPT-AS1 0.1146
LOC100128993 0.0363
LOC100129027 0.0864
LOC100129034 -0.0305
LOC100129046 0.0613
LOC100129055 -0.0191
UNQ6494 0.0043
KTN1-AS1 0.0054
LOC100129083 0.0087
KHDC1L -0.014
LOC100129138 -0.0155
LOC100129148 0.0024
LOC100129175 -0.0153
MATN1-AS1 0.0115
LOC100129213 0.009
LOC100129216 0.0022
LOC100129250 0.0037
LOC100129269 0.0128
C1orf68 -0.0353
LOC100129316 0.0043
LOC100129345 -0.0293
NRADDP -0.0124
GABPB1-AS1 4e-04
FAM106CP 0.0196
MSTO2P 1.5454
RPL19P12 0.0065
LOC100129427 0.0036
DPY19L1P1 0.0036
CXorf28 0.0905
LOC100129480 -0.0118
ZNF37BP -0.0191
LINC00633 0.0027
LOC100129518 -0.0284
LOC100129520 0.0027
LOC100129534 0.7307
LOC100129550 -0.0289
FAM47E 0.0014
LINC00462 -0.0125
LOC100129617 0.0217
LOC100129620 -0.0155
LOC100129636 0.0013
TCF24 -0.0142
FGF13-AS1 0.0027
ARRDC3-AS1 0.0045
LOC100129722 0.038
LOC100129726 -0.0128
CCDC152 -0.0043
LOC100129794 0.0054
MRVI1-AS1 0.0091
ZNF737 -0.0266
PCOLCE-AS1 0.0094
LOC100129858 -0.0116
SCXA -0.0024
LOC100129917 0.0193
LOC100129924 0.0115
LOC100129931 0.0193
LOC100129935 -0.0266
LOC100129961 -0.0345
HDAC6 -0.005
LOC100130000 0.0288
LOC100130015 0.0217
FTLP10 -0.021
LOC100130093 0.0162
MAPT-IT1 0.1146
LOC100130155 -0.0142
KIAA0494-AS1 0.0518
LOC100130231 -0.0197
LOC100130238 0.0577
LOC100130264 0.0307
CCDC166 -0.0024
LOC100130275 -0.0078
LOC100130298 -0.0142
LOC100130301 -0.0142
