SYMBOL COLO829_SKIN
A1BG -0.0132
NAT2 0.1737
ADA 0.3857
CDH2 0.0042
AKT3 0.3195
GAGE12F 0.0182
LOC100009676 0.3637
MED6 -0.0193
NR2E3 -0.5658
NAALAD2 -0.0789
SNORD116-1 -0.5211
SNORD116-2 -0.5211
SNORD116-3 -0.5211
SNORD116-4 -0.5211
SNORD116-5 -0.5211
SNORD116-6 -0.5211
SNORD116-7 -0.5211
SNORD116-8 -0.5211
SNORD116-9 -0.5211
SNORD116-10 -0.5211
SNORD116-11 -0.5211
SNORD116-12 -0.5211
SNORD116-13 -0.5211
SNORD116-14 -0.5211
SNORD116-15 -0.5211
SNORD116-16 -0.5211
SNORD116-17 -0.5211
SNORD116-18 -0.5211
SNORD116-20 -0.5211
SNORD116-21 -0.5211
SNORD116-22 -0.5211
SNORD116-23 -0.5211
SNORD116-24 -0.5211
SNORD116-25 -0.5211
SNORD115-2 -0.5211
SNORD116-26 -0.5211
SNORD116-27 -0.5211
SNORD115-3 -0.5211
SNORD115-4 -0.5211
SNORD115-5 -0.5211
SNORD115-6 -0.5211
SNORD115-7 -0.5211
SNORD115-8 -0.5211
SNORD115-9 -0.5211
SNORD115-10 -0.5211
SNORD115-11 -0.5211
SNORD115-12 -0.5211
SNORD115-13 -0.5211
SNORD115-14 -0.5211
SNORD115-15 -0.5211
SNORD115-16 -0.5211
SNORD115-17 -0.5211
SNORD115-18 -0.5211
SNORD115-19 -0.5211
SNORD115-20 -0.5211
SNORD115-21 -0.5211
SNORD115-22 -0.5211
SNORD115-23 -0.5211
SNORD115-25 -0.5211
SNORD115-26 -0.5211
SNORD115-29 -0.5211
SNORD115-30 -0.5211
SNORD115-31 -0.5211
SNORD115-32 -0.5211
SNORD115-33 -0.5211
SNORD115-34 -0.5211
SNORD115-35 -0.5211
SNORD115-36 -0.5211
SNORD115-37 -0.5211
SNORD115-38 -0.5211
SNORD115-39 -0.5211
SNORD115-40 -0.5211
SNORD115-41 -0.5211
SNORD115-42 -0.5211
SNORD115-43 -0.5211
SNORD115-44 -0.5211
MIR675 0.0721
SNORD116-28 -0.5211
SNORD116-29 -0.5211
SNORD115-48 -0.5211
SNORD115-24 -0.5211
SNORD115-27 -0.5211
SNORD115-28 -0.5211
SNORD115-45 -0.5211
SNORD115-47 -0.5211
DDTL 0.4337
TLX1NB -0.5557
NAALADL1 -0.0818
CDKN2B-AS1 -0.551
GUSBP9 -0.5813
SIGLEC14 -0.0195
ACOT8 0.3857
ABI1 -0.0221
GNPDA1 -0.5807
MIMT1 -0.0132
KCNE3 -0.0818
ZBTB33 0.0192
SNHG8 0.303
LOC100093698 -0.0036
CDH3 -0.5103
TANK -0.0132
HAVCR1P1 -0.0182
POM121C 0.3602
ZSCAN30 0.0042
PSIMCT-1 0.3857
GAGE8 0.0182
ANKRD26P3 0.1351
SRA1 -0.5807
SNORD119 0.3717
SNORD121A 0.3263
SNORD125 0.3861
SNORD19B 0.3596
SNORD105B -0.0182
SNORD123 -0.5601
SNORD121B 0.3263
UCKL1-AS1 0.3857
SNORD127 -0.0193
SNORD124 0.0363
SNORD126 -0.053
SNORD11B -0.0132
SNORD12B 0.3857
SNORD111B -0.5603
LINC00577 -0.0287
LINC00583 -0.551
TMEM170B 0.3411
SNORD58C -0.0112
SCARNA27 0.3411
SNORA84 0.294
SNORA36C 0.0026
SNORA38B 0.0659
SNORA70B 0.0026
SNORA70C 0.2865
SNORA11B -0.0193
SNORA11C 0.0182
LOC100124692 0.9128
HOTAIR -0.0051
ZGLP1 -0.0182
FAM86JP 0.3637
FMR1-AS1 0.0192
MIR298 0.3857
MIR300 -0.0193
VTRNA2-1 -0.5807
MIR509-2 0.0192
MIR450B 0.0192
MIR890 0.0192
MIR891B 0.0192
MIR888 0.0192
MIR892B 0.0192
MIR541 -0.0193
MIR875 0.1336
MIR876 -0.523
MIR147B -0.5658
MIR744 0.0663
MIR877 0.3386
MIR665 -0.0193
MIR873 -0.523
MIR374B 0.0182
MIR301B 0.3607
MIR216B 0.0026
MIR920 0.003
MIR922 0.3634
MIR934 0.0192
MIR935 -0.0195
MIR936 -0.5557
MIR938 -0.011
MIR940 0.1559
MIR941-1 0.3857
MIR941-4 0.3857
MIR942 -0.5499
MIR943 -0.4983
MIR708 -0.0818
MIR885 -0.589
MIR543 -0.0193
MIR208B -0.0074
MIR509-3 0.0192
MIR937 0.1364
MIR941-2 0.3857
MIR944 0.3601
MIR891A 0.0192
MIR892A 0.0192
MIR874 -0.5807
MIR889 -0.0193
MIR190B 0.307
MIR760 -0.5702
MIR921 0.307
MIR933 -0.0132
MIR939 0.1364
MIR941-3 0.3857
MIR365A 0.1493
MIR365B 0.0656
SNAR-G1 -0.0195
SNAR-F -0.0195
LOC100126784 0.0849
EGOT -0.5605
GHRLOS -0.589
SNAR-A1 -0.0195
SNAR-A2 -0.0195
SNAR-A12 -0.0195
KIAA1024L -0.5807
LOC100127888 0.3857
C10orf131 -0.5557
LOC100127983 0.1336
LOC100128023 0.3758
WWTR1-AS1 0.3627
LOC100128054 -0.5557
LOC100128071 -0.014
LOC100128076 0.294
JAZF1-AS1 0.383
LOC100128098 -0.0221
HGC6.3 -0.0287
STAU2-AS1 0.1324
LOC100128164 0.3601
LOC100128176 -0.0287
TMPO-AS1 -0.012
LOC100128239 -0.083
LOC100128252 -0.0132
LOC100128264 -0.5733
DNM1P35 -0.5658
LOC100128288 0.0663
LOC100128292 -0.5546
BET3L -0.0287
LOC100128338 0.1364
LOC100128361 0.294
C3orf74 0.3596
FAM225B 0.294
LOC100128398 -0.0132
LOC100128420 0.0192
C20orf78 0.3857
LOC100128505 0.2865
LOC100128511 -0.0221
LOC100128531 0.3607
LOC100128554 -0.012
LOC100128568 -0.0298
C19orf71 -0.0298
LOC100128573 -0.0298
SLC8A1-AS1 0.0046
LOC100128593 0.2865
ACVR2B-AS1 0.3834
LOC100128675 -0.0182
LOC100128682 -0.0182
LOC100128714 -0.5211
OST4 0.014
LOC100128750 0.1737
LOC100128770 0.1559
LINC00476 0.294
LOC100128787 -0.5702
SRRM2-AS1 0.1559
GPR158-AS1 -0.0221
LOC100128822 -0.5713
LOC100128881 -0.5482
FAM66B 0.6549
ZBTB42 -0.0193
LOC100128946 0.3799
MAPT-AS1 0.0491
LOC100128993 0.1737
LOC100129027 -0.0095
LOC100129034 0.2865
LOC100129046 -0.5702
LOC100129055 -0.5496
UNQ6494 0.2966
KTN1-AS1 -0.0193
LOC100129083 -0.0195
KHDC1L -0.0613
LOC100129138 -0.5702
LOC100129148 0.8859
LOC100129175 -0.0026
MATN1-AS1 -0.014
LOC100129213 -0.0221
LOC100129216 -0.0818
LOC100129250 0.3263
LOC100129269 -0.6
C1orf68 0.307
LOC100129316 0.2966
LOC100129345 -0.0193
NRADDP 0.3596
GABPB1-AS1 -0.5658
FAM106CP 0.0663
MSTO2P 0.307
RPL19P12 0.3498
LOC100129427 0.383
DPY19L1P1 0.383
CXorf28 -0.0228
LOC100129480 -0.589
ZNF37BP -0.5496
LINC00633 0.0192
LOC100129518 -0.0287
LOC100129520 0.0192
LOC100129534 -1e-04
LOC100129550 0.3637
FAM47E 0.2909
LINC00462 0.1303
LOC100129617 -0.5482
LOC100129620 -0.5702
LOC100129636 0.3271
TCF24 0.1324
FGF13-AS1 0.0192
ARRDC3-AS1 -0.5813
LOC100129722 0.2865
LOC100129726 0.0026
CCDC152 -0.569
LOC100129794 -0.0074
MRVI1-AS1 0.0721
ZNF737 -0.0182
PCOLCE-AS1 0.3519
LOC100129858 0.2983
SCXA 0.1364
LOC100129917 -0.4983
LOC100129924 -0.014
LOC100129931 -0.4983
LOC100129935 -0.0182
LOC100129961 -0.0117
HDAC6 0.0182
LOC100130000 -0.0083
LOC100130015 -0.5482
FTLP10 0.3239
LOC100130093 0.31
MAPT-IT1 0.0491
LOC100130155 0.1324
KIAA0494-AS1 -0.014
LOC100130231 0.1492
LOC100130238 -0.0085
LOC100130264 0.3857
CCDC166 0.1364
LOC100130275 0.3411
LOC100130298 0.1324
LOC100130301 0.1324
FAM48B1 -0.0036
C17orf107 0.0663
LOC100130331 0.3195
SCGB2B3P -0.0182
LOC100130348 -0.0818
LOC100130357 0.3411
LINC00552 0.1709
LOC100130417 -1e-04
CECR7 0.3914
PP14571 -0.0055
LOC100130451 -0.0026
LOC100130452 -0.0132
LOC100130476 -0.0287
LOC100130480 -0.5426
TMEM221 -0.0182
PARD6G-AS1 0.0293
LOC100130539 -0.5496
LOC100130557 -0.014
LOC100130581 0.0491
CXorf64 0.0192
LOC100130673 0.383
LOC100130691 -0.0132
LOC100130700 -0.5298
LOC100130705 0.8841
CECR5-AS1 0.3914
LRRC70 -0.5792
LRRC69 0.1336
LOC100130744 -0.535
EFCAB10 0.3809
LOC100130776 -0.0051
SGK110 -0.0046
LOC100130849 0.383
LOC100130855 -0.5658
LOC100130872 -0.4983
LOC100130880 0.8859
PSORS1C3 0.3386
TSTD3 -0.0183
LOC100130894 -0.5603
LOC100130899 0.3799
C17orf110 0.0659
ZNF663 0.3857
LOC100130950 0.0663
LOC100130954 0.2865
SYCE1L -0.5286
LOC100130964 0.1324
C6orf99 -0.0287
LOC100130987 -0.0818
C7orf72 0.383
LOC100130992 -0.0221
LOC100131047 0.3405
LOC100131060 -0.014
LOC100131067 -0.5813
LOC100131089 -0.5658
LOC100131094 -0.0298
LOC100131096 0.0659
ZBTB20-AS1 0.3637
BSPH1 -0.0195
LOC100131138 -0.012
WDR86-AS1 -0.5713
TSTD1 0.307
KIAA1984-AS1 0.2865
RPL21P28 -0.0413
SNAP25-AS1 0.4192
TMEM194B -0.0132
ZNF503-AS2 -0.5546
LOC100131234 0.2981
ANKRD63 -0.5658
LOC100131257 0.3951
LOC100131289 0.3271
LOC100131320 0.0257
LOC100131347 0.0363
LINC00605 -0.0193
C11orf91 0.0849
SP9 -0.0132
LOC100131434 0.0192
CD300LD 0.0659
DBIL5P 0.0663
LOC100131496 0.3857
LOC100131551 0.3758
FKSG29 0.1343
LOC100131564 -0.5702
LOC100131626 -0.083
LOC100131635 0.3601
LOC100131655 0.0176
LOC100131691 -0.0132
LOC100131726 0.1492
USP30-AS1 -0.012
ARMCX4 0.0182
PET100 -0.0298
LINC00271 -0.0287
UBE2DNL 0.0182
LOC100131825 0.307
ZNF717 0.3844
FAM196B -0.5762
KRTAP25-1 -0.0095
ZNF705G 0.6549
RRN3P3 -0.4525
LOC100132077 0.294
LOC100132078 -0.083
HERC2P7 -0.0018
FAM66E 0.1755
LOC100132111 0.307
LOC100132146 0.3834
PHKA2-AS1 -0.0036
LOC100132215 0.0026
LOC100132247 -0.4525
LOC100132273 0.3799
KIAA0664L3 0.1046
LOC100132352 0.2027
LOC100132354 0.3405
LOC100132356 -0.569
KRTAP4-9 0.0363
ZNF705B 0.1755
GAGE12D 0.0182
NBPF10 0.3592
FCGR1C -1.2672
CLDN24 0.317
FAM99B 0.0721
KRTAP4-7 0.0363
LOC100132526 -0.589
XGPY2 -2.8358
ZRANB2-AS1 -0.014
BSN-AS2 0.3596
LOC100132707 -0.5733
CYP4F30P 0.0257
DCAF13P3 -0.5658
LOC100132735 -0.0287
LOC100132741 0.0182
KDM4A-AS1 -0.014
LOC100132781 0.294
LOC100132831 0.0182
LOC100132832 0.3602
LOC100132891 0.1324
DPH3P1 0.3857
FAM159B -0.5792
FAM66D 0.1755
FAM27C 0.2883
CXorf68 0.0192
GOLGA8DP 0.3606
LOC100132987 -0.5546
LOC100133050 -0.5813
LOC100133091 0.3602
FAM27B 0.2027
LOC100133123 -0.0036
UBE2Q2P3 -0.5658
SPANXB2 0.0192
FAM66A 1.0601
LINC00240 0.3271
SBF1P1 0.1324
LOC100133267 0.1755
LOC100133286 -0.0095
LOC100133308 -0.5496
HOXA-AS3 0.383
LOC100133315 -0.0818
LOC100133445 -1e-04
LOC100133461 -0.4983
MRPL23-AS1 0.0721
LOC100133612 -1e-04
LOC100133669 0.1492
LOC100133920 0.0026
CD24 0.3533
LOC100133957 0.0182
LOC100133985 0.0026
MAP3K14-AS1 0.0491
UBOX5-AS1 0.3717
LOC100134229 0.8859
LOC100134259 0.0026
LOC100134317 -0.0182
LOC100134368 0.1824
KCNJ18 0.0419
NDUFB2-AS1 0.8859
LOC100134868 0.3857
UBE2Q2P2 -0.5658
TEN1 0.0659
UPK3BL -1.0124
JMJD7 -0.5658
PLA2G4B -0.5658
HDAC5 0.0491
C17orf99 0.0659
LOC100144595 -0.0117
LINC00029 0.3857
LOC100144597 0.3857
LOC100144602 0.3239
LOC100144603 0.3799
LOC100144604 0.3849
KLLN -0.5551
PDCD6IP 0.3834
KRTAP20-4 -0.0095
RNU4ATAC 0.0257
RNU6ATAC 0.2865
SCARNA9L -0.0036
PDCD6 -0.5803
LOC100169752 -0.5297
PATE3 -0.083
PEG3-AS1 -0.0132
SNAR-A13 -0.0195
DBIL5P2 0.0026
BCL2L10 -0.5658
SNAR-B2 -0.0195
SNAR-C2 -0.0195
SNAR-C4 -0.0195
SNAR-E -0.0195
SNAR-H 0.0026
SNAR-I 0.3601
SNAR-C5 -0.0195
SNAR-B1 -0.0195
SNAR-C1 -0.0195
SNAR-C3 -0.0195
SNAR-D -0.0195
SNAR-G2 -0.0195
SRRM5 -0.0019
C19orf69 -0.0182
C17orf96 0.0363
LOC100170939 -0.5813
BCL2L11 0.0022
MIR1224 0.3601
MIR1225 0.1559
TOMM6 0.3405
LOC100188947 -0.5557
LINC00426 0.1272
LINC00092 0.294
DNMBP-AS1 -0.5557
DCTN1-AS1 0.0026
SH2B3 -0.012
RAMP2-AS1 0.0491
TPT1-AS1 0.1303
LOC100190940 -0.012
C5orf52 -0.5762
LOC100190986 -0.5712
C2CD4D 0.307
LOC100192204 -0.0221
ZFHX4-AS1 0.1324
PP12613 0.303
FLJ16779 0.3857
FLJ41941 0.3914
LOC100192426 -0.5426
CDH4 0.3857
GNE 0.3263
HCN4 -0.5658
LOC100216001 -0.5823
LOC100216479 0.0257
LOC100216545 0.3809
LOC100216546 0.3809
INSL5 -0.014
FRAT1 -0.5557
PCED1B-AS1 -0.0051
TROAP -0.0051
LOC100240734 -0.0051
LOC100240735 -0.0051
MED16 -0.0298
PIGK 0
LOC100268168 -0.5762
LOC100270679 0.3857
LOC100270746 0.3271
LOC100270804 0.3857
LOC100271702 -0.0033
ARHGEF33 0.0046
LOC100271722 0.3799
LOC100271832 0.014
LOC100271836 -0.5712
ERVV-2 -0.0195
MEF2B -0.0182
AIRN -0.0287
ZNRF2P2 0.383
MTCP1NB 0.0192
LOC100272216 -2.1608
LOC100272217 0.2865
LOC100272228 0.0192
LOC100286793 -0.0083
BCDIN3D-AS1 -0.0051
LOC100286922 -0.0055
VPS13A-AS1 0.2966
ANAPC1P1 0.0026
LOC100287010 0.0138
LOC100287015 0.1798
DDX11L10 0.1824
LOC100287036 -0.5482
LOC100287042 0.0659
DEFT1P2 1.44
LINC00421 0.1351
