SYMBOL A253_SALIVARY_GLAND
A1BG 0.05
NAT2 0.4381
ADA 0.3842
CDH2 0.0525
AKT3 -0.4243
GAGE12F -0.772
LOC100009676 -0.3803
MED6 0.9696
NR2E3 -0.2463
NAALAD2 -0.405
SNORD116-1 -0.2709
SNORD116-2 -0.2709
SNORD116-3 -0.2709
SNORD116-4 -0.2709
SNORD116-5 -0.2709
SNORD116-6 -0.2709
SNORD116-7 -0.2709
SNORD116-8 -0.2709
SNORD116-9 -0.2709
SNORD116-10 -0.2709
SNORD116-11 -0.2709
SNORD116-12 -0.2709
SNORD116-13 -0.2709
SNORD116-14 -0.2709
SNORD116-15 -0.2709
SNORD116-16 -0.2709
SNORD116-17 -0.2709
SNORD116-18 -0.2709
SNORD116-20 -0.2709
SNORD116-21 -0.2709
SNORD116-22 -0.2709
SNORD116-23 -0.2709
SNORD116-24 -0.2709
SNORD116-25 -0.2709
SNORD115-2 -0.2709
SNORD116-26 -0.2709
SNORD116-27 -0.2709
SNORD115-3 -0.2709
SNORD115-4 -0.2709
SNORD115-5 -0.2709
SNORD115-6 -0.2709
SNORD115-7 -0.2709
SNORD115-8 -0.2709
SNORD115-9 -0.2709
SNORD115-10 -0.2709
SNORD115-11 -0.2709
SNORD115-12 -0.2709
SNORD115-13 -0.2709
SNORD115-14 -0.2709
SNORD115-15 -0.2709
SNORD115-16 -0.2709
SNORD115-17 -0.2709
SNORD115-18 -0.2709
SNORD115-19 -0.2709
SNORD115-20 -0.2709
SNORD115-21 -0.2709
SNORD115-22 -0.2709
SNORD115-23 -0.2709
SNORD115-25 -0.2709
SNORD115-26 -0.2709
SNORD115-29 -0.2709
SNORD115-30 -0.2709
SNORD115-31 -0.2709
SNORD115-32 -0.2709
SNORD115-33 -0.2709
SNORD115-34 -0.2709
SNORD115-35 -0.2709
SNORD115-36 -0.2709
SNORD115-37 -0.2709
SNORD115-38 -0.2709
SNORD115-39 -0.2709
SNORD115-40 -0.2709
SNORD115-41 -0.2709
SNORD115-42 -0.2709
SNORD115-43 -0.2709
SNORD115-44 -0.2709
MIR675 -0.1455
SNORD116-28 -0.2709
SNORD116-29 -0.2709
SNORD115-48 -0.2709
SNORD115-24 -0.2709
SNORD115-27 -0.2709
SNORD115-28 -0.2709
SNORD115-45 -0.2709
SNORD115-47 -0.2709
DDTL -0.0034
TLX1NB 0.0934
NAALADL1 0.5219
CDKN2B-AS1 -0.4251
GUSBP9 0.1163
SIGLEC14 -2.6904
ACOT8 0.3842
ABI1 -0.4126
GNPDA1 0.1066
MIMT1 0.05
KCNE3 -0.405
ZBTB33 0.0479
SNHG8 -0.3832
LOC100093698 0.0673
CDH3 -0.0896
TANK 0.178
HAVCR1P1 0.0441
POM121C 0.0303
ZSCAN30 -1.0198
PSIMCT-1 0.3842
GAGE8 -0.772
ANKRD26P3 0.1041
SRA1 0.1066
SNORD119 0.4424
SNORD121A 0.4294
SNORD125 0.1658
SNORD19B -0.4081
SNORD105B 0.0441
SNORD123 0.9142
SNORD121B 0.4294
UCKL1-AS1 0.4645
SNORD127 -0.0727
SNORD124 0.0926
SNORD126 -0.0549
SNORD11B 0.0894
SNORD12B 0.3842
SNORD111B -0.0896
LINC00577 0.1179
LINC00583 -0.4157
TMEM170B -0.4
SNORD58C -1.0198
SCARNA27 -0.4
SNORA84 0.4347
SNORA36C 0.0879
SNORA38B 0.0803
SNORA70B 0.0879
SNORA70C 0.4607
SNORA11B 8e-04
SNORA11C -0.7777
LOC100124692 -0.3989
HOTAIR 0.1271
ZGLP1 0.0441
FAM86JP -0.3965
FMR1-AS1 0.0555
MIR298 0.4138
MIR300 8e-04
VTRNA2-1 0.1066
MIR509-2 0.0555
MIR450B 0.0271
MIR890 0.0555
MIR891B 0.0555
MIR888 0.0555
MIR892B 0.0555
MIR541 8e-04
MIR875 -0.2702
MIR876 0.4294
MIR147B -0.2471
MIR744 0.3252
MIR877 0.3791
MIR665 8e-04
MIR873 0.4294
MIR374B 0.4588
MIR301B 0.6452
MIR216B 0.0879
MIR920 -0.3905
MIR922 0.6866
MIR934 0.0271
MIR935 0.0122
MIR936 0.0934
MIR938 -0.4126
MIR940 0.3364
MIR941-1 0.4645
MIR941-4 0.4645
MIR942 0.1056
MIR943 -0.3948
MIR708 -0.405
MIR885 -0.1088
MIR543 8e-04
MIR208B -0.0549
MIR509-3 0.0555
MIR937 0.5355
MIR941-2 0.4645
MIR944 0.6945
MIR891A 0.0555
MIR892A 0.0555
MIR874 0.1066
MIR889 8e-04
MIR190B 0.0848
MIR760 0.1435
MIR921 -0.2624
MIR933 0.178
MIR939 0.5355
MIR941-3 0.4645
MIR365A 0.3433
MIR365B 0.1526
SNAR-G1 0.0658
SNAR-F 0.0658
LOC100126784 -0.1712
EGOT -0.1088
GHRLOS -0.1088
SNAR-A1 0.0658
SNAR-A2 0.0658
SNAR-A12 0.0658
KIAA1024L 0.1066
LOC100127888 0.4138
C10orf131 0.0934
LOC100127983 -0.2702
LOC100128023 0.6866
WWTR1-AS1 0.6914
LOC100128054 -0.402
LOC100128071 -0.4153
LOC100128076 0.4347
JAZF1-AS1 0.6456
LOC100128098 -0.421
HGC6.3 0.1179
STAU2-AS1 -0.2702
LOC100128164 0.6673
LOC100128176 0.1179
TMPO-AS1 -0.3863
LOC100128239 -0.4273
LOC100128252 0.05
LOC100128264 -0.4164
DNM1P35 -0.2463
LOC100128288 0.3252
LOC100128292 -0.402
BET3L 0.1179
LOC100128338 0.5355
LOC100128361 0.4347
C3orf74 -0.4081
FAM225B 0.4607
LOC100128398 0.05
LOC100128420 0.0271
C20orf78 0.4155
LOC100128505 0.4607
LOC100128511 -0.4126
LOC100128531 0.5233
LOC100128554 -0.2976
LOC100128568 0.0441
C19orf71 0.0441
LOC100128573 0.0441
SLC8A1-AS1 0.0987
LOC100128593 0.4791
ACVR2B-AS1 -0.378
LOC100128675 0.0441
LOC100128682 0.0496
LOC100128714 -0.2709
OST4 0.0753
LOC100128750 -0.386
LOC100128770 0.3364
LINC00476 0.4347
LOC100128787 0.1248
SRRM2-AS1 0.3364
GPR158-AS1 -0.4126
LOC100128822 -0.4164
LOC100128881 -0.0714
FAM66B 0.3356
ZBTB42 8e-04
LOC100128946 0.1642
MAPT-AS1 0.0818
LOC100128993 0.4381
LOC100129027 -0.3747
LOC100129034 0.4607
LOC100129046 0.1435
LOC100129055 0.465
UNQ6494 0.4347
KTN1-AS1 0.803
LOC100129083 0.0658
KHDC1L 0.1213
LOC100129138 0.0927
LOC100129148 -0.3989
LOC100129175 0.0894
MATN1-AS1 -0.4153
LOC100129213 -0.421
LOC100129216 -0.4318
LOC100129250 0.4294
LOC100129269 0.1056
C1orf68 0.0932
LOC100129316 0.4347
LOC100129345 8e-04
NRADDP -0.4081
GABPB1-AS1 -0.2471
FAM106CP 1.0439
MSTO2P 0.0848
RPL19P12 0.5733
LOC100129427 0.6395
DPY19L1P1 0.5951
CXorf28 0.0111
LOC100129480 -0.1088
ZNF37BP -0.4511
LINC00633 0.0271
LOC100129518 0.1179
LOC100129520 0.0479
