SYMBOL A253_SALIVARY_GLAND power
A1BG 0.05 1.03526492384138
NAT2 0.4381 1.35481888311971
ADA 0.3842 1.30513586539748
CDH2 0.0525 1.03706045651031
AKT3 -0.4243 0.745200217257964
GAGE12F -0.772 0.585605090609405
LOC100009676 -0.3803 0.768277815151954
MED6 0.9696 1.95829756452308
NR2E3 -0.2463 0.843055783499842
NAALAD2 -0.405 0.755236292781413
SNORD116-1 -0.2709 0.828802350698298
SNORD116-2 -0.2709 0.828802350698298
SNORD116-3 -0.2709 0.828802350698298
SNORD116-4 -0.2709 0.828802350698298
SNORD116-5 -0.2709 0.828802350698298
SNORD116-6 -0.2709 0.828802350698298
SNORD116-7 -0.2709 0.828802350698298
SNORD116-8 -0.2709 0.828802350698298
SNORD116-9 -0.2709 0.828802350698298
SNORD116-10 -0.2709 0.828802350698298
SNORD116-11 -0.2709 0.828802350698298
SNORD116-12 -0.2709 0.828802350698298
SNORD116-13 -0.2709 0.828802350698298
SNORD116-14 -0.2709 0.828802350698298
SNORD116-15 -0.2709 0.828802350698298
SNORD116-16 -0.2709 0.828802350698298
SNORD116-17 -0.2709 0.828802350698298
SNORD116-18 -0.2709 0.828802350698298
SNORD116-20 -0.2709 0.828802350698298
SNORD116-21 -0.2709 0.828802350698298
SNORD116-22 -0.2709 0.828802350698298
SNORD116-23 -0.2709 0.828802350698298
SNORD116-24 -0.2709 0.828802350698298
SNORD116-25 -0.2709 0.828802350698298
SNORD115-2 -0.2709 0.828802350698298
SNORD116-26 -0.2709 0.828802350698298
SNORD116-27 -0.2709 0.828802350698298
SNORD115-3 -0.2709 0.828802350698298
SNORD115-4 -0.2709 0.828802350698298
SNORD115-5 -0.2709 0.828802350698298
SNORD115-6 -0.2709 0.828802350698298
SNORD115-7 -0.2709 0.828802350698298
SNORD115-8 -0.2709 0.828802350698298
SNORD115-9 -0.2709 0.828802350698298
SNORD115-10 -0.2709 0.828802350698298
SNORD115-11 -0.2709 0.828802350698298
SNORD115-12 -0.2709 0.828802350698298
SNORD115-13 -0.2709 0.828802350698298
SNORD115-14 -0.2709 0.828802350698298
SNORD115-15 -0.2709 0.828802350698298
SNORD115-16 -0.2709 0.828802350698298
SNORD115-17 -0.2709 0.828802350698298
SNORD115-18 -0.2709 0.828802350698298
SNORD115-19 -0.2709 0.828802350698298
SNORD115-20 -0.2709 0.828802350698298
SNORD115-21 -0.2709 0.828802350698298
SNORD115-22 -0.2709 0.828802350698298
SNORD115-23 -0.2709 0.828802350698298
SNORD115-25 -0.2709 0.828802350698298
SNORD115-26 -0.2709 0.828802350698298
SNORD115-29 -0.2709 0.828802350698298
SNORD115-30 -0.2709 0.828802350698298
SNORD115-31 -0.2709 0.828802350698298
SNORD115-32 -0.2709 0.828802350698298
SNORD115-33 -0.2709 0.828802350698298
SNORD115-34 -0.2709 0.828802350698298
SNORD115-35 -0.2709 0.828802350698298
SNORD115-36 -0.2709 0.828802350698298
SNORD115-37 -0.2709 0.828802350698298
SNORD115-38 -0.2709 0.828802350698298
SNORD115-39 -0.2709 0.828802350698298
SNORD115-40 -0.2709 0.828802350698298
SNORD115-41 -0.2709 0.828802350698298
SNORD115-42 -0.2709 0.828802350698298
SNORD115-43 -0.2709 0.828802350698298
SNORD115-44 -0.2709 0.828802350698298
MIR675 -0.1455 0.904065997860932
SNORD116-28 -0.2709 0.828802350698298
SNORD116-29 -0.2709 0.828802350698298
SNORD115-48 -0.2709 0.828802350698298
SNORD115-24 -0.2709 0.828802350698298
SNORD115-27 -0.2709 0.828802350698298
SNORD115-28 -0.2709 0.828802350698298
SNORD115-45 -0.2709 0.828802350698298
SNORD115-47 -0.2709 0.828802350698298
DDTL -0.0034 0.997646074424268
TLX1NB 0.0934 1.06688154220183
NAALADL1 0.5219 1.43584498198398
CDKN2B-AS1 -0.4251 0.744787105063935
GUSBP9 0.1163 1.0839513447565
SIGLEC14 -2.6904 0.154920503453189
ACOT8 0.3842 1.30513586539748
ABI1 -0.4126 0.751268230379499
GNPDA1 0.1066 1.07668781355647
MIMT1 0.05 1.03526492384138
KCNE3 -0.405 0.755236292781413
ZBTB33 0.0479 1.03375907904544
SNHG8 -0.3832 0.766735030423688
LOC100093698 0.0673 1.04775397876341
CDH3 -0.0896 0.939783276346948
TANK 0.178 1.1313144628459
HAVCR1P1 0.0441 1.03103978254985
POM121C 0.0303 1.02122446128627
ZSCAN30 -1.0198 0.493184717427133
PSIMCT-1 0.3842 1.30513586539748
GAGE8 -0.772 0.585605090609405
ANKRD26P3 0.1041 1.07482367137329
SRA1 0.1066 1.07668781355647
SNORD119 0.4424 1.35886298914406
SNORD121A 0.4294 1.34667339466716
SNORD125 0.1658 1.12178795691875
SNORD19B -0.4081 0.753615216342522
SNORD105B 0.0441 1.03103978254985
SNORD123 0.9142 1.88452378017094
SNORD121B 0.4294 1.34667339466716
UCKL1-AS1 0.4645 1.37983905474336
SNORD127 -0.0727 0.950856805787567
SNORD124 0.0926 1.0662901014528
SNORD126 -0.0549 0.962661167376638
SNORD11B 0.0894 1.06392761537435
SNORD12B 0.3842 1.30513586539748
SNORD111B -0.0896 0.939783276346948
LINC00577 0.1179 1.08515415212082
LINC00583 -0.4157 0.749655671185514
TMEM170B -0.4 0.757858283255199
SNORD58C -1.0198 0.493184717427133
SCARNA27 -0.4 0.757858283255199
SNORA84 0.4347 1.35162974030025
SNORA36C 0.0879 1.06282200259786
SNORA38B 0.0803 1.05723786413849
SNORA70B 0.0879 1.06282200259786
SNORA70C 0.4607 1.37620939713541
SNORA11B 8e-04 1.00055467151783
SNORA11C -0.7777 0.583295965270152
LOC100124692 -0.3989 0.758436341666484
HOTAIR 0.1271 1.09209624146528
ZGLP1 0.0441 1.03103978254985
FAM86JP -0.3965 0.759699090929046
FMR1-AS1 0.0555 1.03921920682447
MIR298 0.4138 1.33219013152361
MIR300 8e-04 1.00055467151783
VTRNA2-1 0.1066 1.07668781355647
MIR509-2 0.0555 1.03921920682447
MIR450B 0.0271 1.01896182322045
MIR890 0.0555 1.03921920682447
MIR891B 0.0555 1.03921920682447
MIR888 0.0555 1.03921920682447
